Open_time,Open,High,Low,Close,Volume,Close_time,Quote_asset_volume,Number_of_trades,Taker_buy_base_asset_volume,Taker_buy_quote_asset_volume
2024-12-05 08:00:00,3850.98,3956.0,3850.75,3888.0,291312.7661,2024-12-05 15:59:59.999,1139965334.122754,2338489,151826.9501,594280641.924483
2024-12-05 16:00:00,3888.0,3926.33,3677.0,3785.2,325965.963,2024-12-05 23:59:59.999,1248672544.251634,3235113,153640.3253,589058076.195265
2024-12-06 00:00:00,3785.21,3929.0,3777.26,3893.75,193925.7935,2024-12-06 07:59:59.999,751249186.80879,1797150,101373.9953,392645610.362246
2024-12-06 08:00:00,3893.74,4041.0,3831.9,3993.02,379039.4225,2024-12-06 15:59:59.999,1491506238.545655,2830562,193211.3871,760825463.215264
2024-12-06 16:00:00,3993.01,4087.73,3980.11,3998.87,230889.8986,2024-12-06 23:59:59.999,931324654.791748,2049487,115944.0313,467600853.149399
2024-12-07 00:00:00,3998.87,4024.46,3968.0,3985.87,109746.5218,2024-12-07 07:59:59.999,438075885.08012,1044126,51038.4657,203758123.342041
2024-12-07 08:00:00,3985.87,4009.0,3973.51,4004.71,93042.3094,2024-12-07 15:59:59.999,371449364.986217,1003598,49531.8416,197748180.348278
2024-12-07 16:00:00,4004.72,4024.01,3986.0,3996.22,81131.1888,2024-12-07 23:59:59.999,324892808.799836,673819,40457.2285,162025536.551893
2024-12-08 00:00:00,3996.22,4008.99,3958.87,3980.6,64564.6643,2024-12-08 07:59:59.999,257381124.12265,620585,29082.637,115947272.102908
2024-12-08 08:00:00,3980.6,4003.4,3923.5,3990.79,115983.5021,2024-12-08 15:59:59.999,460487879.804397,1132317,59087.5805,234728034.831125
2024-12-08 16:00:00,3990.79,4015.58,3964.4,4004.15,70814.0021,2024-12-08 23:59:59.999,282502576.711312,861685,36525.9555,145732548.525108
2024-12-09 00:00:00,4004.15,4006.17,3880.44,3918.44,150097.4198,2024-12-09 07:59:59.999,590859571.244804,1669273,69042.2932,271783343.060408
2024-12-09 08:00:00,3918.44,3946.0,3804.32,3824.0,259348.3115,2024-12-09 15:59:59.999,1003896297.529792,2814227,123683.2909,478738624.561618
2024-12-09 16:00:00,3824.0,3866.35,3509.0,3712.0,530196.4688,2024-12-09 23:59:59.999,1971739935.353509,3847526,241794.1601,900243970.429948
2024-12-10 00:00:00,3712.0,3780.76,3615.11,3734.55,296788.3774,2024-12-10 07:59:59.999,1098916869.008891,3109343,143135.6532,530023760.481919
2024-12-10 08:00:00,3734.54,3773.39,3555.41,3567.75,326501.6129,2024-12-10 15:59:59.999,1200158433.124564,3462690,160365.4792,589694741.844803
2024-12-10 16:00:00,3567.76,3673.2,3515.89,3628.25,318916.0434,2024-12-10 23:59:59.999,1144039193.140209,3889635,165341.1038,593538430.773037
2024-12-11 00:00:00,3628.24,3681.81,3562.34,3652.58,130767.1598,2024-12-11 07:59:59.999,475087915.364215,2311832,69088.1365,251258706.312688
2024-12-11 08:00:00,3652.58,3821.0,3651.23,3787.34,193950.6131,2024-12-11 15:59:59.999,725439206.231374,2408644,105685.9871,395506126.567083
2024-12-11 16:00:00,3787.34,3848.64,3753.5,3831.81,137101.0072,2024-12-11 23:59:59.999,521696415.282588,1474888,74055.9803,281830976.420816
2024-12-12 00:00:00,3831.82,3947.81,3796.8,3905.4,172634.5151,2024-12-12 07:59:59.999,671887898.590413,2126159,89437.3155,348174620.238859
2024-12-12 08:00:00,3905.4,3987.41,3891.32,3957.67,221550.6735,2024-12-12 15:59:59.999,873504330.064291,2867543,113573.2155,447881064.377227
2024-12-12 16:00:00,3957.77,3985.56,3836.07,3881.61,177913.4457,2024-12-12 23:59:59.999,694411254.921903,2011537,81596.6241,318498534.625057
2024-12-13 00:00:00,3881.6,3941.19,3852.94,3885.64,116518.236,2024-12-13 07:59:59.999,454636544.434201,1742758,55983.4732,218429778.633283
2024-12-13 08:00:00,3885.64,3968.47,3872.2,3886.21,161497.0664,2024-12-13 15:59:59.999,632799045.638188,1830513,83680.8148,327938341.089391
2024-12-13 16:00:00,3886.2,3946.37,3880.07,3906.8,109750.3849,2024-12-13 23:59:59.999,429507262.212792,1551307,52531.0358,205587322.825392
2024-12-14 00:00:00,3906.8,3945.0,3895.67,3920.76,71368.032,2024-12-14 07:59:59.999,279814559.522133,1028242,36854.1176,144502260.355709
2024-12-14 08:00:00,3920.75,3931.38,3846.3,3889.01,91699.2202,2024-12-14 15:59:59.999,356359492.269465,1127963,41998.8016,163238427.605882
2024-12-14 16:00:00,3889.0,3898.23,3825.03,3870.29,102471.6957,2024-12-14 23:59:59.999,395421225.595739,1251543,52480.9102,202655010.494342
